Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
11/10/2016,06,07,17,20,44,02
11/14/2016,03,10,20,30,43,01
11/17/2016,06,30,32,35,48,01
11/21/2016,08,11,37,41,54,04
11/24/2016,04,24,25,32,46,01
11/28/2016,22,32,42,45,49,04
12/01/2016,17,23,30,49,55,01
12/05/2016,05,06,19,22,45,04
12/08/2016,08,28,29,49,57,03
12/12/2016,14,19,48,53,54,04
12/15/2016,05,07,21,44,57,02
12/19/2016,01,08,16,22,47,03
12/22/2016,14,19,32,38,43,03
12/26/2016,04,12,29,31,36,01
12/29/2016,11,16,19,29,34,01
01/02/2017,26,31,37,38,41,02
01/05/2017,05,18,42,44,46,04
01/09/2017,21,28,31,44,51,01
01/12/2017,06,32,37,50,56,01
01/16/2017,03,15,16,19,26,01
01/19/2017,14,32,37,43,45,02
01/23/2017,16,24,32,44,48,01
01/26/2017,01,14,25,40,59,02
01/30/2017,11,20,31,34,51,03
02/02/2017,13,20,24,37,58,02
02/06/2017,06,24,48,54,59,02
02/09/2017,02,28,37,38,48,04
02/13/2017,17,18,24,25,41,01
02/16/2017,08,12,19,35,42,04
02/20/2017,13,16,23,37,48,03
02/23/2017,03,24,38,43,52,03
02/27/2017,06,19,28,57,60,01
03/02/2017,03,07,11,30,42,03
03/06/2017,01,05,14,22,50,02
03/09/2017,01,08,23,56,58,03
03/13/2017,13,16,17,24,50,02
03/16/2017,13,14,36,48,57,02
03/20/2017,13,22,41,46,56,02
03/23/2017,02,28,30,39,53,04
03/27/2017,32,42,58,59,60,04
03/30/2017,24,38,40,44,49,02
04/03/2017,12,15,28,46,57,02
04/06/2017,04,06,17,48,53,04
04/10/2017,20,22,37,55,56,03
04/13/2017,17,19,49,50,56,04
04/17/2017,05,09,12,33,46,04
04/20/2017,22,23,37,56,60,04
04/24/2017,19,33,35,36,48,02
04/27/2017,02,20,27,29,53,04
05/01/2017,07,19,23,24,40,02
05/04/2017,01,02,17,24,38,04
05/08/2017,22,34,42,46,57,03
05/11/2017,06,20,30,34,36,01
05/15/2017,02,27,28,34,39,03
05/18/2017,04,29,30,55,58,03
05/22/2017,04,06,25,31,47,01
05/25/2017,06,07,13,16,30,01
05/29/2017,18,22,23,25,49,04
06/01/2017,05,09,46,55,58,04
06/05/2017,03,29,32,48,56,01
06/08/2017,24,27,43,50,60,03
06/12/2017,10,11,44,53,57,03
06/15/2017,01,09,17,26,55,01
06/19/2017,02,10,15,33,58,04
06/22/2017,31,40,45,54,57,03
06/26/2017,08,33,39,40,49,02
06/29/2017,07,08,13,18,48,02
07/03/2017,04,28,40,41,48,03
07/06/2017,04,09,39,44,52,02
07/10/2017,13,19,34,38,53,01
07/13/2017,06,17,32,45,59,03
07/17/2017,08,17,27,28,39,02
07/20/2017,26,37,40,42,50,01
07/24/2017,07,20,21,41,59,01
07/27/2017,32,37,38,42,43,02
07/31/2017,07,09,47,54,60,03
08/03/2017,09,12,19,29,34,02
08/07/2017,06,20,25,32,50,02
08/10/2017,04,05,28,33,42,04
08/14/2017,08,20,31,36,39,02
08/17/2017,11,15,21,23,58,03
08/21/2017,07,08,12,35,39,04
08/24/2017,02,04,32,57,60,03
08/28/2017,04,09,20,42,46,02
08/31/2017,30,34,36,56,59,01
09/04/2017,02,11,20,36,46,01
09/07/2017,02,05,07,55,57,03
09/11/2017,26,34,42,48,57,01
09/14/2017,05,12,13,41,44,04
09/18/2017,04,21,26,35,42,02
09/21/2017,04,16,18,32,47,02
09/25/2017,07,26,53,55,56,03
09/28/2017,16,31,34,50,60,03
10/02/2017,10,35,38,48,57,04
10/05/2017,12,14,31,38,41,02
10/09/2017,18,20,38,42,44,04
10/12/2017,12,33,41,45,60,02
10/16/2017,03,11,32,49,55,04
10/19/2017,15,16,39,41,46,02
10/23/2017,16,31,34,41,57,04
10/26/2017,03,12,17,27,55,02
10/30/2017,06,22,23,36,42,02
11/02/2017,14,43,55,57,60,04
11/06/2017,04,10,22,24,42,02
