Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
4/10/2017,20,22,37,55,56,3
4/13/2017,17,19,49,50,56,4
4/17/2017,5,9,12,33,46,4
4/20/2017,22,23,37,56,60,4
4/24/2017,19,33,35,36,48,2
4/27/2017,2,20,27,29,53,4
5/1/2017,7,19,23,24,40,2
5/4/2017,1,2,17,24,38,4
5/8/2017,22,34,42,46,57,3
5/11/2017,6,20,30,34,36,1
5/15/2017,2,27,28,34,39,3
5/18/2017,4,29,30,55,58,3
5/22/2017,4,6,25,31,47,1
5/25/2017,6,7,13,16,30,1
5/29/2017,18,22,23,25,49,4
6/1/2017,5,9,46,55,58,4
6/5/2017,3,29,32,48,56,1
6/8/2017,24,27,43,50,60,3
6/12/2017,10,11,44,53,57,3
6/15/2017,1,9,17,26,55,1
6/19/2017,2,10,15,33,58,4
6/22/2017,31,40,45,54,57,3
6/26/2017,8,33,39,40,49,2
6/29/2017,7,8,13,18,48,2
7/3/2017,4,28,40,41,48,3
7/6/2017,4,9,39,44,52,2
7/10/2017,13,19,34,38,53,1
7/13/2017,6,17,32,45,59,3
7/17/2017,8,17,27,28,39,2
7/20/2017,26,37,40,42,50,1
7/24/2017,7,20,21,41,59,1
7/27/2017,32,37,38,42,43,2
7/31/2017,7,9,47,54,60,3
8/3/2017,9,12,19,29,34,2
8/7/2017,6,20,25,32,50,2
8/10/2017,4,5,28,33,42,4
8/14/2017,8,20,31,36,39,2
8/17/2017,11,15,21,23,58,3
8/21/2017,7,8,12,35,39,4
8/24/2017,2,4,32,57,60,3
8/28/2017,4,9,20,42,46,2
8/31/2017,30,34,36,56,59,1
9/4/2017,2,11,20,36,46,1
9/7/2017,2,5,7,55,57,3
9/11/2017,26,34,42,48,57,1
9/14/2017,5,12,13,41,44,4
9/18/2017,4,21,26,35,42,2
9/21/2017,4,16,18,32,47,2
9/25/2017,7,26,53,55,56,3
9/28/2017,16,31,34,50,60,3
10/2/2017,10,35,38,48,57,4
10/5/2017,12,14,31,38,41,2
10/9/2017,18,20,38,42,44,4
10/12/2017,12,33,41,45,60,2
10/16/2017,3,11,32,49,55,4
10/19/2017,15,16,39,41,46,2
10/23/2017,16,31,34,41,57,4
10/26/2017,3,12,17,27,55,2
10/30/2017,6,22,23,36,42,2
11/2/2017,14,43,55,57,60,4
11/6/2017,4,10,22,24,42,2
11/9/2017,3,12,30,39,60,1
11/13/2017,9,17,21,29,58,3
11/16/2017,15,16,19,42,52,3
11/20/2017,3,4,22,38,59,3
11/23/2017,4,33,56,58,59,4
11/27/2017,25,27,42,50,57,1
11/30/2017,2,5,18,23,59,1
12/4/2017,16,17,46,51,52,1
12/7/2017,2,5,39,54,56,3
12/11/2017,2,16,30,40,53,3
12/14/2017,7,24,32,44,52,3
12/18/2017,8,9,12,21,45,1
12/21/2017,1,9,25,37,60,1
12/25/2017,2,18,34,42,57,3
12/28/2017,9,14,24,41,46,2
1/1/2018,12,18,20,31,38,4
1/4/2018,12,22,42,43,53,3
1/8/2018,3,11,44,47,58,3
1/11/2018,18,22,23,41,53,1
1/15/2018,12,25,31,33,58,4
1/18/2018,26,36,42,58,60,1
1/22/2018,1,5,10,28,57,3
1/25/2018,1,6,24,41,44,2
1/29/2018,6,11,14,16,52,1
2/1/2018,10,20,21,25,52,1
2/5/2018,30,36,39,55,60,1
2/8/2018,9,37,47,51,55,4
2/12/2018,1,5,17,21,33,4
2/15/2018,1,43,44,53,54,1
2/19/2018,10,16,23,31,53,2
2/22/2018,26,28,38,47,51,1
2/26/2018,29,31,40,45,59,3
3/1/2018,5,6,7,12,36,2
3/5/2018,1,47,52,54,58,2
3/8/2018,6,34,36,44,55,4
3/12/2018,5,29,35,36,49,4
3/15/2018,11,12,31,49,59,1
3/19/2018,3,26,30,51,53,4
3/22/2018,2,8,15,40,41,4
3/26/2018,2,9,23,47,54,3
3/29/2018,34,35,36,46,58,1
4/2/2018,7,12,21,24,40,2
4/5/2018,3,10,21,24,59,1
4/9/2018,10,19,29,45,48,4
4/12/2018,2,6,14,22,40,1
4/16/2018,8,11,15,26,50,3
4/19/2018,4,15,28,35,42,2
4/23/2018,16,21,22,47,52,3
4/26/2018,7,32,33,36,59,3
4/30/2018,2,11,14,45,49,3
5/3/2018,2,7,11,30,59,3
5/7/2018,4,15,19,22,51,2
5/10/2018,11,36,41,43,48,4
5/14/2018,1,4,6,13,32,2
5/17/2018,8,40,41,43,51,2
5/21/2018,8,18,22,37,44,1
5/24/2018,5,13,35,49,56,2
5/28/2018,13,29,31,34,47,1
5/31/2018,1,28,42,47,55,4
6/4/2018,4,13,30,38,53,3
6/7/2018,17,22,38,42,45,4
6/11/2018,14,32,33,43,55,4
6/14/2018,12,14,24,27,55,4
6/18/2018,4,27,28,40,59,2
6/21/2018,3,13,16,17,24,3
6/25/2018,12,33,37,55,58,4
6/28/2018,4,13,17,34,49,1
7/2/2018,4,13,24,53,59,1
7/5/2018,16,21,28,31,44,4
7/9/2018,9,12,16,20,60,1
7/12/2018,1,20,28,48,56,4
7/16/2018,17,18,45,46,55,1
7/19/2018,9,12,20,38,52,1
7/23/2018,4,13,25,27,58,4
7/26/2018,2,20,33,38,45,4
7/30/2018,21,45,48,51,58,1
8/2/2018,1,10,14,29,30,1
