Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
08/22/2000,06,16,18,34,41,02
08/25/2000,34,35,37,47,48,12
08/29/2000,04,17,31,37,47,09
09/01/2000,04,09,26,30,31,04
09/05/2000,31,39,43,45,48,28
09/08/2000,10,12,20,33,40,30
09/12/2000,04,11,18,27,38,23
09/15/2000,02,06,10,26,39,03
09/19/2000,08,10,28,34,35,17
09/22/2000,06,11,26,28,36,06
09/26/2000,02,13,31,41,44,03
09/29/2000,08,10,30,32,40,18
10/03/2000,16,25,32,33,40,04
10/06/2000,12,17,36,38,44,16
10/10/2000,05,23,29,30,39,08
10/13/2000,02,13,20,39,43,31
10/17/2000,09,16,41,43,48,02
10/20/2000,30,36,37,42,46,04
10/24/2000,08,09,14,24,41,23
10/27/2000,21,29,33,39,44,24
10/31/2000,07,16,22,34,36,34
11/03/2000,05,15,22,23,43,23
11/07/2000,22,29,35,38,47,27
11/10/2000,26,32,39,40,46,18
11/14/2000,12,14,25,31,37,22
11/17/2000,05,08,20,38,46,03
11/21/2000,15,25,28,40,46,17
11/24/2000,20,21,32,39,46,02
11/28/2000,15,18,30,48,49,08
12/01/2000,15,25,28,38,47,05
12/05/2000,04,08,30,46,48,01
12/08/2000,23,27,29,43,45,30
12/12/2000,01,14,28,38,47,24
12/15/2000,25,30,39,40,50,08
12/19/2000,12,34,36,39,40,16
12/22/2000,14,35,40,43,50,12
12/26/2000,04,29,32,35,44,19
12/29/2000,09,15,21,22,29,24
01/02/2001,07,08,11,12,13,12
01/05/2001,01,03,09,40,42,32
01/09/2001,04,24,35,44,48,32
01/12/2001,06,15,23,26,50,06
01/16/2001,07,08,13,35,50,28
01/19/2001,04,06,16,31,36,19
01/23/2001,06,07,12,23,43,27
01/26/2001,01,08,20,37,45,17
01/30/2001,05,17,22,39,40,30
02/02/2001,06,23,25,30,31,05
02/06/2001,05,17,32,34,48,05
02/09/2001,01,12,14,16,22,26
02/13/2001,30,31,35,46,47,23
02/16/2001,09,10,24,30,31,35
02/20/2001,09,32,37,42,46,13
02/23/2001,03,18,21,36,50,06
02/27/2001,01,05,14,27,37,03
03/02/2001,13,23,24,25,42,22
03/06/2001,02,24,26,31,41,34
03/09/2001,02,10,12,15,27,17
03/13/2001,11,17,38,41,42,24
03/16/2001,14,22,38,42,43,10
03/20/2001,11,30,39,41,43,34
03/23/2001,06,10,26,39,40,28
03/27/2001,20,23,25,27,42,06
03/30/2001,04,31,38,45,48,09
04/03/2001,04,05,25,39,45,14
04/06/2001,04,09,10,16,45,30
04/10/2001,17,22,27,32,42,33
04/13/2001,16,27,36,39,47,12
04/17/2001,04,12,14,24,44,21
04/20/2001,02,05,11,32,36,24
04/24/2001,01,04,27,29,31,05
04/27/2001,03,06,30,38,44,12
05/01/2001,04,13,15,16,25,19
05/04/2001,11,24,27,35,47,22
05/08/2001,19,21,29,31,50,25
05/11/2001,11,12,19,21,26,19
05/15/2001,07,14,19,24,43,30
05/18/2001,07,19,30,38,41,05
05/22/2001,08,10,13,31,43,28
05/25/2001,12,13,17,20,22,33
05/29/2001,05,22,23,24,35,30
06/01/2001,05,18,36,44,49,35
06/05/2001,23,27,36,49,50,01
06/08/2001,01,22,30,34,46,02
06/12/2001,08,09,10,18,49,21
06/15/2001,01,06,23,30,39,20
06/19/2001,01,12,30,38,42,23
06/22/2001,05,21,37,43,50,34
06/26/2001,01,02,07,22,44,34
06/29/2001,05,09,12,28,48,05
